scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Large_rep1,Low Density,19.6,23.434661267920845,4.2,2.9859899333993436,0.2,0.5479760692831281
Large_rep1,Medium Density,39.3,40.71744174088252,8.5,10.011813258305896,0.3,0.25211681607501674
Large_rep1,High Density,78.5,86.1779104062468,17.0,17.69962361256931,0.6,1.4592769009051094
Large_rep2,Low Density,19.6,20.805134408809085,4.2,4.099597882567693,0.2,-0.03779222673639243
Large_rep2,Medium Density,39.3,40.70630994036394,8.5,11.264337152291038,0.3,0.00036273475012693114
Large_rep2,High Density,78.5,90.02843640197693,17.0,20.772566407906446,0.6,0.8780198524638536
Large_rep3,Low Density,19.6,21.193980895382822,4.2,4.935911389497696,0.2,0.3499231311454032
Large_rep3,Medium Density,39.3,43.24201455447299,8.5,8.20696984279211,0.3,0.7361546970910893
Large_rep3,High Density,78.5,87.77636335940959,17.0,19.9016230459455,0.6,0.01286413132109137
Large_rep4,Low Density,19.6,19.373706292616088,4.2,3.395426501612653,0.2,-0.2939334978193146
Large_rep4,Medium Density,39.3,41.64497320036264,8.5,8.340802036496719,0.3,-0.09241865756702856
Large_rep4,High Density,78.5,90.08015277882758,17.0,17.95691052172607,0.6,0.7816726588235294
Large_rep5,Low Density,19.6,19.12703544932888,4.2,3.314510498040023,0.2,-0.2572993241409371
Large_rep5,Medium Density,39.3,41.86565897594806,8.5,9.208320009829515,0.3,0.4561381630982183
Large_rep5,High Density,78.5,85.7227823363145,17.0,18.016699927506455,0.6,0.23178398658682636
Small_rep1,Low Density,19.6,18.931272081363925,4.2,4.460163930475087,0.2,-0.3288334871106717
Small_rep1,Medium Density,39.3,41.35865194960085,8.5,8.253124061900099,0.3,0.5127787486508586
Small_rep1,High Density,78.5,86.70893930323314,17.0,17.597786200965334,0.6,0.8806933958158996
Small_rep2,Low Density,19.6,19.845533363830203,4.2,4.266592675768588,0.2,0.1750306697360259
Small_rep2,Medium Density,39.3,40.71183503161868,8.5,8.025405954996883,0.3,0.7612304220337834
Small_rep2,High Density,78.5,86.65671740262727,17.0,19.339726719019183,0.6,0.04105743762827822
Small_rep3,Low Density,19.6,20.660207020408162,4.2,5.781613990451429,0.2,0.46973783237322525
Small_rep3,Medium Density,39.3,41.705571988405794,8.5,7.850093071488397,0.3,0.22455836082445702
Small_rep3,High Density,78.5,90.08836573909673,17.0,17.225766606103463,0.6,0.7596153770150514
Small_rep4,Low Density,19.6,21.12826918653374,4.2,5.430419306239266,0.2,0.5910145211273401
Small_rep4,Medium Density,39.3,40.669628995798526,8.5,8.304766101200192,0.3,0.03648756023391813
Small_rep4,High Density,78.5,90.66691643076922,17.0,18.18020656392989,0.6,1.4100422293135435
Small_rep5,Low Density,19.6,20.440257130297073,4.2,5.147561948888783,0.2,0.3492180055117571
Small_rep5,Medium Density,39.3,39.58527697688443,8.5,11.525812641316842,0.3,0.23947027289107284
Small_rep5,High Density,78.5,89.07143623373845,17.0,17.26340066650908,0.6,0.4622593005733701
