scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Large_rep1,Low Density,19.6,25.623622078228053,4.2,2.4909064214177796,0.2,0.8314383246744419
Large_rep1,Medium Density,39.3,36.51864731299511,8.5,8.958714351384439,0.3,0.1749589656534154
Large_rep1,High Density,78.5,71.85158942967031,17.0,14.378522135193894,0.6,1.5208804240815081
Large_rep2,Low Density,19.6,22.158903735272347,4.2,4.532759433641987,0.2,-0.0014776967873270266
Large_rep2,Medium Density,39.3,35.31968955441838,8.5,10.549006491397591,0.3,-0.22191024666685727
Large_rep2,High Density,78.5,74.66021464423117,17.0,18.32117424212505,0.6,0.6639911614615852
Large_rep3,Low Density,19.6,23.45931377041707,4.2,5.517313309841459,0.2,0.5099887483318012
Large_rep3,Medium Density,39.3,40.39432613484753,8.5,7.947812427300136,0.3,0.8452724471386885
Large_rep3,High Density,78.5,76.60324765236486,17.0,17.195283345491823,0.6,0.010801987540558817
Large_rep4,Low Density,19.6,20.476633590748403,4.2,3.774289369746434,0.2,0.13898715778756512
Large_rep4,Medium Density,39.3,37.6298318310726,8.5,7.415726849754612,0.3,0.08291450197177111
Large_rep4,High Density,78.5,73.95073380456866,17.0,14.619582253167431,0.6,0.7824958145574892
Large_rep5,Low Density,19.6,19.97074988692339,4.2,2.9295686606541516,0.2,0.032993673484754814
Large_rep5,Medium Density,39.3,38.81356728533155,8.5,8.361907685153188,0.3,0.4087693300777912
Large_rep5,High Density,78.5,74.26684375598778,17.0,14.515462825901677,0.6,0.20703938369010239
Small_rep1,Low Density,19.6,19.682130026436422,4.2,4.808053208731607,0.2,-0.36640977342033265
Small_rep1,Medium Density,39.3,39.82096244953783,8.5,7.9335916586325315,0.3,0.6853955113206941
Small_rep1,High Density,78.5,81.83985932508433,17.0,15.315528762327034,0.6,0.8543274551091011
Small_rep2,Low Density,19.6,20.96169961678549,4.2,4.0081915548491045,0.2,0.31427660532984936
Small_rep2,Medium Density,39.3,39.60038174225426,8.5,7.827091063336936,0.3,0.8880762331287664
Small_rep2,High Density,78.5,80.24565111604164,17.0,18.2765299913346,0.6,-0.11596804958560916
Small_rep3,Low Density,19.6,21.783273130286386,4.2,6.498472674790236,0.2,0.6487317330837142
Small_rep3,Medium Density,39.3,39.548957557856866,8.5,7.21451498287466,0.3,0.3329905477986043
Small_rep3,High Density,78.5,82.303534814994,17.0,15.354351881808762,0.6,0.7323052373955172
Small_rep4,Low Density,19.6,22.37227337694002,4.2,6.155617671555799,0.2,0.503263344875668
Small_rep4,Medium Density,39.3,38.33117377265516,8.5,7.928210082185851,0.3,0.08633430863442915
Small_rep4,High Density,78.5,80.98734322902502,17.0,16.919812354962875,0.6,1.8196026193244585
Small_rep5,Low Density,19.6,20.947600147485133,4.2,5.436278707989253,0.2,0.5164102304984777
Small_rep5,Medium Density,39.3,37.51592010559988,8.5,11.844283183134705,0.3,0.2804449375809762
Small_rep5,High Density,78.5,80.7742030048137,17.0,15.279078922628116,0.6,0.3229998475389388
