scan,inserts,calculated_agat_large,calculated_agat_medium,calculated_agat_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_cal_factor
GE_CCI_small_1,Low Density,82.492743896506,14.781936767582,0.0,19.6,19.164164197808077,4.2,3.331295086471434,0.2,0.0,0.0009096665764441353
GE_CCI_small_1,Medium Density,204.32451306157702,39.100606933604006,0.0,39.3,43.24719379673414,8.5,7.501107075812021,0.3,0.0,0.0009096665764441353
GE_CCI_small_1,High Density,247.478231689518,63.419277099626,0.0,78.5,88.08575332894901,17.0,18.658288820907387,0.6,0.0,0.0009096665764441353
GE_CCI_small_2,Low Density,80.108560546896,14.30510009766,0.0,19.6,18.032241551416753,4.2,3.400673004794646,0.2,0.0,0.0009211153369385057
GE_CCI_small_2,Medium Density,208.377624755914,37.193260253916,0.0,39.3,44.06270789034535,8.5,6.8381308160667285,0.3,0.0,0.0009211153369385057
GE_CCI_small_2,High Density,313.75852880867603,67.710807128924,0.0,78.5,94.01098481708053,17.0,18.167851211117153,0.6,0.0,0.0009211153369385057
GE_CCI_small_3,Low Density,62.94244042970401,14.781936767582001,0.0,19.6,17.51222961704701,4.2,3.1459675350288254,0.2,0.0,0.0009031593242901845
GE_CCI_small_3,Medium Density,216.96068481451002,46.491575317395004,0.0,39.3,41.56133188601993,8.5,8.542669201466877,0.3,0.0,0.0009031593242901845
GE_CCI_small_3,High Density,313.75852880867603,82.96958056642801,1.1920916748050001,78.5,91.53721177683718,17.0,18.823587747664774,0.6,0.39028515792195384,0.0009031593242901845
GE_CCI_small_4,Low Density,64.37295043947,14.781936767582001,0.0,19.6,17.747180340034674,4.2,3.381112715439753,0.2,0.0,0.0009012665464632671
GE_CCI_small_4,Medium Density,181.674771240282,39.100606933604,0.0,39.3,41.90506189915933,8.5,7.0770223884975065,0.3,0.0,0.0009012665464632671
GE_CCI_small_4,High Density,287.532511962966,61.988767089860005,1.907346679688,78.5,90.8334265694752,17.0,18.65628590634051,0.6,0.3701281634791849,0.0009012665464632671
