inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,19.6,24.93106443330629,4.2,5.833180034858028,0.2,0.02729075167934473
Medium Density,39.3,47.30111967271871,8.5,10.467820829424795,0.3,0.6710516950403695
High Density,78.5,96.06486964829179,17.0,14.412918937928977,0.6,0.0
Low Density,19.6,21.37243892669645,4.2,5.333999022435144,0.2,0.0
Medium Density,39.3,44.00962163363326,8.5,6.698021760253052,0.3,0.8091996348443096
High Density,78.5,95.6985111909895,17.0,16.568884419103483,0.6,0.12313804237930803
Low Density,19.6,18.375183034884238,4.2,4.908066019933313,0.2,0.572504256965577
Medium Density,39.3,44.74424689935705,8.5,9.275505695069212,0.3,1.0871841192241358
High Density,78.5,99.0050387411099,17.0,14.819223594223937,0.6,0.14508115801336752
Low Density,19.6,20.140890791658112,4.2,4.4085854209573805,0.2,0.2638612710868353
Medium Density,39.3,48.76962641565883,8.5,9.904343089444568,0.3,0.592778623182664
High Density,78.5,97.99108771338753,17.0,14.323308820610396,0.6,0.9991478357420971
Low Density,19.6,25.527704098738987,4.2,6.875508515243701,0.2,0.6926647224913225
Medium Density,39.3,43.83035483765616,8.5,7.611326636392952,0.3,0.7790121051753576
High Density,78.5,98.31703053457535,17.0,15.854326007323293,0.6,0.1358573253594297
Low Density,19.6,24.127825046144217,4.2,7.579685043042663,0.2,0.0
Medium Density,39.3,50.105838401000085,8.5,8.620151330049147,0.3,1.3165821926014767
High Density,78.5,103.32872768100165,17.0,13.599751526598116,0.6,0.44264107782404677
Low Density,19.6,23.57411752325831,4.2,2.696431575107816,0.2,0.4549373861188022
Medium Density,39.3,47.44357776219485,8.5,9.70463637034491,0.3,0.4086341975567983
High Density,78.5,104.4902515298433,17.0,19.701177983775654,0.6,0.2795383137188614
Low Density,19.6,22.02711476951427,4.2,6.135257308724388,0.2,0.1083136474754411
Medium Density,39.3,45.858112335335846,8.5,8.475344202385209,0.3,0.0
High Density,78.5,100.12943446392345,17.0,13.66412273301166,0.6,0.5603612286373978
Low Density,19.6,22.189846703182983,4.2,4.159142113610952,0.2,0.22553294274789748
Medium Density,39.3,46.11557609273808,8.5,10.6658528058448,0.3,0.6990608339267972
High Density,78.5,99.14959979993024,17.0,17.548996666685284,0.6,0.26595805022420665
Low Density,19.6,21.154568422528794,4.2,6.206462186275239,0.2,0.439219651294996
Medium Density,39.3,46.78565734490684,8.5,9.19903082442947,0.3,0.44899536938764417
High Density,78.5,99.12763983325188,17.0,13.6563438353841,0.6,0.20635157997605114
