scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
iCT_large_SER_0001,Low Density,19.6,19.224647717834745,4.2,4.387602699120435,0.2,0.9861907284881988
iCT_large_SER_0001,Medium Density,39.3,39.18021759041735,8.5,7.5654253933599085,0.3,0.6886197076569772
iCT_large_SER_0001,High Density,78.5,91.24062959282358,17.0,17.971749767685562,0.6,0.561433175681076
iCT_large_SER_0003,Low Density,19.6,18.83799604360494,4.2,4.4254534864900945,0.2,0.10827372101176308
iCT_large_SER_0003,Medium Density,39.3,41.15384047263154,8.5,7.24759314770064,0.3,0.16625843120618466
iCT_large_SER_0003,High Density,78.5,90.97088324396232,17.0,18.210094036664202,0.6,1.1777406275198692
iCT_large_SER_0005,Low Density,19.6,20.256962991589884,4.2,5.742916397620444,0.2,0.3334779479726977
iCT_large_SER_0005,Medium Density,39.3,40.80777143295419,8.5,7.69277751628067,0.3,0.4809720929698311
iCT_large_SER_0005,High Density,78.5,87.9147383411184,17.0,16.0424065250921,0.6,1.065767920273143
iCT_large_SER_0007,Low Density,19.6,14.613605606104239,4.2,6.561838542728331,0.2,0.0
iCT_large_SER_0007,Medium Density,39.3,37.557290549387965,8.5,5.966398633582585,0.3,0.2113531232678108
iCT_large_SER_0007,High Density,78.5,87.57986442983507,17.0,14.774741281666543,0.6,0.9130507562353595
iCT_large_SER_0009,Low Density,19.6,17.14328114187507,4.2,3.3127465010698276,0.2,0.9006503639257972
iCT_large_SER_0009,Medium Density,39.3,38.48955493348536,8.5,8.89020743443013,0.3,0.09966402087531749
iCT_large_SER_0009,High Density,78.5,83.05718554913963,17.0,16.62666331450163,0.6,2.0096350413286452
iCT_small_SER_0001,Low Density,19.6,19.21283664988048,4.2,4.436026892674058,0.2,0.33358047748434133
iCT_small_SER_0001,Medium Density,39.3,42.430446597075985,8.5,8.14726186353107,0.3,0.483087177783606
iCT_small_SER_0001,High Density,78.5,91.51018476119486,17.0,17.92775229151884,0.6,0.45306620950203574
iCT_small_SER_0003,Low Density,19.6,19.396411822331707,4.2,4.642648524877209,0.2,0.1410396849245565
iCT_small_SER_0003,Medium Density,39.3,43.07976415246224,8.5,8.271151865032358,0.3,0.22405177338254464
iCT_small_SER_0003,High Density,78.5,95.18329822200313,17.0,18.104813841800645,0.6,0.7243749818839971
iCT_small_SER_0005,Low Density,19.6,19.057186041508903,4.2,3.192503002586569,0.2,0.4126289749055701
iCT_small_SER_0005,Medium Density,39.3,42.91583732917637,8.5,7.598870026471001,0.3,0.5305342337952659
iCT_small_SER_0005,High Density,78.5,94.01141676426425,17.0,18.57588633747724,0.6,0.06709161518362065
iCT_small_SER_0007,Low Density,19.6,19.775757379093182,4.2,4.275037992021098,0.2,0.09944595985344684
iCT_small_SER_0007,Medium Density,39.3,40.423321164658965,8.5,7.836154503262737,0.3,0.02908188723129297
iCT_small_SER_0007,High Density,78.5,90.54380435676359,17.0,18.108118235147163,0.6,0.9227125612023759
iCT_small_SER_0009,Low Density,19.6,17.260376709066914,4.2,3.7946532257890286,0.2,0.5127374187136403
iCT_small_SER_0009,Medium Density,39.3,43.88639277810659,8.5,7.718796209624731,0.3,0.17192014033429698
iCT_small_SER_0009,High Density,78.5,94.02833287579057,17.0,16.91193889370925,0.6,0.31857069401319893
