vender,scan,inserts,calculated_agat_large,calculated_agat_medium,calculated_agat_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_cal_factor
Canon_Aquilion_One_Vision,Large_rep1,Low Density,137.409088,22.385536,0.0,19.6,25.179247385411855,4.2,4.6873431409529545,0.2,0.0,0.0007222519504066924
Canon_Aquilion_One_Vision,Large_rep1,Medium Density,236.71513599999997,69.53804799999999,0.0,39.3,49.43043454090885,8.5,10.959923991380181,0.3,0.0,0.0007222519504066924
Canon_Aquilion_One_Vision,Large_rep1,High Density,396.271616,89.304,6.191744,78.5,94.32684671276573,17.0,21.402879963219124,0.6,1.1398437911013954,0.0007222519504066924
Canon_Aquilion_One_Vision,Large_rep2,Low Density,155.746176,28.100991999999998,0.952576,19.6,25.327845158092366,4.2,5.959736009713637,0.2,0.36925574063650357,0.0007228701895993029
Canon_Aquilion_One_Vision,Large_rep2,Medium Density,271.48416,83.3504,0.0,39.3,49.97140520241779,8.5,12.711176985015749,0.3,0.0,0.0007228701895993029
Canon_Aquilion_One_Vision,Large_rep2,High Density,346.26137600000004,146.696704,3.334016,78.5,98.5521294744251,17.0,24.301675708239593,0.6,1.2243108752479317,0.0007228701895993029
Canon_Aquilion_One_Vision,Large_rep3,Low Density,131.69363199999998,31.435008,0.0,19.6,24.36769939258749,4.2,6.442223339866316,0.2,0.0,0.0007190124559613215
Canon_Aquilion_One_Vision,Large_rep3,Medium Density,251.00377599999996,64.060736,3.095872,39.3,52.20894018308541,8.5,10.384768945347036,0.3,0.983267443921953,0.0007190124559613215
Canon_Aquilion_One_Vision,Large_rep3,High Density,338.16447999999997,91.20915199999999,4.286592,78.5,96.01706758571724,17.0,23.116767158154595,0.6,2.1441233059565357,0.0007190124559613215
Canon_Aquilion_One_Vision,Large_rep4,Low Density,155.746176,20.480384,0.952576,19.6,25.255840345559086,4.2,4.681061829760886,0.2,0.2787160334345616,0.0007292010274957114
Canon_Aquilion_One_Vision,Large_rep4,Medium Density,264.816128,62.393727999999996,0.952576,39.3,47.944888360777824,8.5,11.913056626780632,0.3,0.3470926304220125,0.0007292010274957114
