vender,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Canon_Aquilion_One_Vision,Large_rep1,Low Density,19.6,25.623622078228053,4.2,2.4909064214177796,0.2,0.8314383246744419
Canon_Aquilion_One_Vision,Large_rep1,Medium Density,39.3,36.51864731299511,8.5,8.958714351384439,0.3,0.1749589656534154
Canon_Aquilion_One_Vision,Large_rep1,High Density,78.5,71.85158942967031,17.0,14.378522135193894,0.6,1.5208804240815081
Canon_Aquilion_One_Vision,Large_rep2,Low Density,19.6,22.158903735272347,4.2,4.532759433641987,0.2,-0.0014776967873270266
Canon_Aquilion_One_Vision,Large_rep2,Medium Density,39.3,35.31968955441838,8.5,10.549006491397591,0.3,-0.22191024666685727
Canon_Aquilion_One_Vision,Large_rep2,High Density,78.5,74.66021464423117,17.0,18.32117424212505,0.6,0.6639911614615852
Canon_Aquilion_One_Vision,Large_rep3,Low Density,19.6,23.45931377041707,4.2,5.517313309841459,0.2,0.5099887483318012
Canon_Aquilion_One_Vision,Large_rep3,Medium Density,39.3,40.39432613484753,8.5,7.947812427300136,0.3,0.8452724471386885
Canon_Aquilion_One_Vision,Large_rep3,High Density,78.5,76.60324765236486,17.0,17.195283345491823,0.6,0.010801987540558817
Canon_Aquilion_One_Vision,Large_rep4,Low Density,19.6,20.476633590748403,4.2,3.774289369746434,0.2,0.13898715778756512
Canon_Aquilion_One_Vision,Large_rep4,Medium Density,39.3,37.6298318310726,8.5,7.415726849754612,0.3,0.08291450197177111
Canon_Aquilion_One_Vision,Large_rep4,High Density,78.5,73.95073380456866,17.0,14.619582253167431,0.6,0.7824958145574892
Canon_Aquilion_One_Vision,Large_rep5,Low Density,19.6,19.97074988692339,4.2,2.9295686606541516,0.2,0.032993673484754814
Canon_Aquilion_One_Vision,Large_rep5,Medium Density,39.3,38.81356728533155,8.5,8.361907685153188,0.3,0.4087693300777912
Canon_Aquilion_One_Vision,Large_rep5,High Density,78.5,74.26684375598778,17.0,14.515462825901677,0.6,0.20703938369010239
Canon_Aquilion_One_Vision,Small_rep1,Low Density,19.6,19.682130026436422,4.2,4.808053208731607,0.2,-0.36640977342033265
Canon_Aquilion_One_Vision,Small_rep1,Medium Density,39.3,39.82096244953783,8.5,7.9335916586325315,0.3,0.6853955113206941
Canon_Aquilion_One_Vision,Small_rep1,High Density,78.5,81.83985932508433,17.0,15.315528762327034,0.6,0.8543274551091011
Canon_Aquilion_One_Vision,Small_rep2,Low Density,19.6,20.96169961678549,4.2,4.0081915548491045,0.2,0.31427660532984936
Canon_Aquilion_One_Vision,Small_rep2,Medium Density,39.3,39.60038174225426,8.5,7.827091063336936,0.3,0.8880762331287664
Canon_Aquilion_One_Vision,Small_rep2,High Density,78.5,80.24565111604164,17.0,18.2765299913346,0.6,-0.11596804958560916
Canon_Aquilion_One_Vision,Small_rep3,Low Density,19.6,21.783273130286386,4.2,6.498472674790236,0.2,0.6487317330837142
Canon_Aquilion_One_Vision,Small_rep3,Medium Density,39.3,39.548957557856866,8.5,7.21451498287466,0.3,0.3329905477986043
Canon_Aquilion_One_Vision,Small_rep3,High Density,78.5,82.303534814994,17.0,15.354351881808762,0.6,0.7323052373955172
Canon_Aquilion_One_Vision,Small_rep4,Low Density,19.6,22.37227337694002,4.2,6.155617671555799,0.2,0.503263344875668
Canon_Aquilion_One_Vision,Small_rep4,Medium Density,39.3,38.33117377265516,8.5,7.928210082185851,0.3,0.08633430863442915
Canon_Aquilion_One_Vision,Small_rep4,High Density,78.5,80.98734322902502,17.0,16.919812354962875,0.6,1.8196026193244585
Canon_Aquilion_One_Vision,Small_rep5,Low Density,19.6,20.947600147485133,4.2,5.436278707989253,0.2,0.5164102304984777
Canon_Aquilion_One_Vision,Small_rep5,Medium Density,39.3,37.51592010559988,8.5,11.844283183134705,0.3,0.2804449375809762
Canon_Aquilion_One_Vision,Small_rep5,High Density,78.5,80.7742030048137,17.0,15.279078922628116,0.6,0.3229998475389388
GE_Revolution,GE_CCI_large_1,Low Density,19.6,26.395461811141043,4.2,6.180202975603373,0.2,-0.3740587595529876
GE_Revolution,GE_CCI_large_1,Medium Density,39.3,45.575987597430554,8.5,9.780539394271583,0.3,0.6986342486909178
GE_Revolution,GE_CCI_large_1,High Density,78.5,87.36775254009284,17.0,17.894436367535945,0.6,0.9850316664140841
GE_Revolution,GE_CCI_large_2,Low Density,19.6,22.561551241527198,4.2,5.624392027754774,0.2,-0.036299815472486056
GE_Revolution,GE_CCI_large_2,Medium Density,39.3,41.798134924764696,8.5,10.624572764048096,0.3,1.3033365504577468
GE_Revolution,GE_CCI_large_2,High Density,78.5,87.37395677012445,17.0,19.935415195189485,0.6,1.2033196005209637
GE_Revolution,GE_CCI_large_3,Low Density,19.6,19.415585479859402,4.2,5.177386954040472,0.2,0.6037134799170146
GE_Revolution,GE_CCI_large_3,Medium Density,39.3,42.57447005884171,8.5,9.515005426424507,0.3,1.0948504207787015
GE_Revolution,GE_CCI_large_3,High Density,78.5,88.9054836548333,17.0,15.679632070259613,0.6,0.22432734180117936
GE_Revolution,GE_CCI_large_4,Low Density,19.6,21.239583218337884,4.2,4.643839875772736,0.2,0.24267536495817332
GE_Revolution,GE_CCI_large_4,Medium Density,39.3,47.44902839148871,8.5,9.571997791901689,0.3,0.30708867251338323
GE_Revolution,GE_CCI_large_4,High Density,78.5,88.60013310970864,17.0,17.251449698915838,0.6,1.4064976548910757
GE_Revolution,GE_CCI_large_5,Low Density,19.6,27.120204611669575,4.2,7.306955870155526,0.2,0.7361607763914088
GE_Revolution,GE_CCI_large_5,Medium Density,39.3,42.114555481708,8.5,9.558592607047684,0.3,0.3362484367193834
GE_Revolution,GE_CCI_large_5,High Density,78.5,90.60170621381428,17.0,17.862433657796462,0.6,0.6492612635645716
GE_Revolution,GE_CCI_small_1,Low Density,19.6,27.192679978208737,4.2,7.325491208487034,0.2,-0.2806331932130623
GE_Revolution,GE_CCI_small_1,Medium Density,39.3,52.529689711053436,8.5,11.543995001865314,0.3,0.6128960024930757
GE_Revolution,GE_CCI_small_1,High Density,78.5,104.29989736091419,17.0,23.03622165374568,0.6,1.184394045993878
GE_Revolution,GE_CCI_small_2,Low Density,19.6,27.103224209449145,4.2,3.1308031135983194,0.2,0.523674687387916
GE_Revolution,GE_CCI_small_2,Medium Density,39.3,49.62803014856708,8.5,10.311379262693448,0.3,-0.03886161569049891
GE_Revolution,GE_CCI_small_2,High Density,78.5,107.28033285940666,17.0,23.020061004948573,0.6,1.1385150226032896
GE_Revolution,GE_CCI_small_3,Low Density,19.6,23.337879302194366,4.2,7.240810363951522,0.2,-0.13353495588067843
GE_Revolution,GE_CCI_small_3,Medium Density,39.3,44.49303746450218,8.5,8.649872958041191,0.3,0.019655418968589924
GE_Revolution,GE_CCI_small_3,High Density,78.5,94.95418785198773,17.0,20.34284346038314,0.6,1.4180984230440163
GE_Revolution,GE_CCI_small_4,Low Density,19.6,23.52470530629653,4.2,4.320373488030281,0.2,0.23907596272898363
GE_Revolution,GE_CCI_small_4,Medium Density,39.3,44.983400505960105,8.5,10.98966479557406,0.3,0.8527219099445813
GE_Revolution,GE_CCI_small_4,High Density,78.5,92.68031592450097,17.0,20.804933174126674,0.6,1.1900948024778666
GE_Revolution,GE_CCI_small_5,Low Density,19.6,22.41344496231214,4.2,6.576254934225942,0.2,1.0189152037762026
GE_Revolution,GE_CCI_small_5,Medium Density,39.3,46.31737694469527,8.5,10.019158893307566,0.3,0.05003542884098688
GE_Revolution,GE_CCI_small_5,High Density,78.5,93.18694421822327,17.0,19.84491355144047,0.6,1.1070900082236956
Philips_Brilliance_iCT,iCT_large_SER_0001,Low Density,19.6,20.574457631246627,4.2,4.6973619103873885,0.2,0.9004181076914822
Philips_Brilliance_iCT,iCT_large_SER_0001,Medium Density,39.3,37.61532855024615,8.5,7.195742701055065,0.3,0.8301505295844758
Philips_Brilliance_iCT,iCT_large_SER_0001,High Density,78.5,87.53095209066673,17.0,16.672228961890124,0.6,0.5320981560002825
Philips_Brilliance_iCT,iCT_large_SER_0003,Low Density,19.6,20.387888981533578,4.2,4.530117747090414,0.2,0.11695578613330822
Philips_Brilliance_iCT,iCT_large_SER_0003,Medium Density,39.3,39.883830098216976,8.5,6.98435432210766,0.3,0.43868505623034015
Philips_Brilliance_iCT,iCT_large_SER_0003,High Density,78.5,88.8075970069171,17.0,16.407781428609876,0.6,1.3545153903989144
Philips_Brilliance_iCT,iCT_large_SER_0005,Low Density,19.6,21.679115103069943,4.2,4.64514252491731,0.2,0.3567385623771524
Philips_Brilliance_iCT,iCT_large_SER_0005,Medium Density,39.3,39.92185860153944,8.5,5.83045774086746,0.3,0.7094852902913982
Philips_Brilliance_iCT,iCT_large_SER_0005,High Density,78.5,83.86697829526803,17.0,15.499982961107007,0.6,1.0338991989275625
Philips_Brilliance_iCT,iCT_large_SER_0007,Low Density,19.6,16.038781290382254,4.2,7.160463688201235,0.2,-0.2959319569924715
Philips_Brilliance_iCT,iCT_large_SER_0007,Medium Density,39.3,37.3553972841191,8.5,5.861370391581267,0.3,-0.035813774539361555
Philips_Brilliance_iCT,iCT_large_SER_0007,High Density,78.5,85.47674663532354,17.0,13.535866514871357,0.6,0.7216896916972119
Philips_Brilliance_iCT,iCT_large_SER_0009,Low Density,19.6,18.303774336356298,4.2,3.5351734183466244,0.2,0.9607192002641457
Philips_Brilliance_iCT,iCT_large_SER_0009,Medium Density,39.3,37.39691449505506,8.5,8.748272322057636,0.3,0.6988805832251761
Philips_Brilliance_iCT,iCT_large_SER_0009,High Density,78.5,79.88335661484952,17.0,17.548243034790175,0.6,1.6011229101344266
Philips_Brilliance_iCT,iCT_small_SER_0001,Low Density,19.6,19.650769518566364,4.2,4.535844056770759,0.2,0.23521199986320643
Philips_Brilliance_iCT,iCT_small_SER_0001,Medium Density,39.3,39.84570292229921,8.5,7.916791141222622,0.3,0.4885578807434387
Philips_Brilliance_iCT,iCT_small_SER_0001,High Density,78.5,84.74443803288911,17.0,17.856766942504944,0.6,0.6898469418177448
Philips_Brilliance_iCT,iCT_small_SER_0003,Low Density,19.6,19.97793021711059,4.2,4.781436420012358,0.2,0.04379166132833108
Philips_Brilliance_iCT,iCT_small_SER_0003,Medium Density,39.3,40.61965469785536,8.5,8.092149093636186,0.3,0.7072089961088189
Philips_Brilliance_iCT,iCT_small_SER_0003,High Density,78.5,89.86978336213738,17.0,17.94640775758925,0.6,0.8090185764848986
Philips_Brilliance_iCT,iCT_small_SER_0005,Low Density,19.6,19.49518111331882,4.2,3.266313071215653,0.2,0.4220985003414803
Philips_Brilliance_iCT,iCT_small_SER_0005,Medium Density,39.3,40.080165463418666,8.5,7.427841413509366,0.3,0.37700264018076146
Philips_Brilliance_iCT,iCT_small_SER_0005,High Density,78.5,88.17004749900528,17.0,15.89164857687652,0.6,0.23959855956664666
Philips_Brilliance_iCT,iCT_small_SER_0007,Low Density,19.6,20.25396101938762,4.2,4.377645344954062,0.2,0.10185086461437352
Philips_Brilliance_iCT,iCT_small_SER_0007,Medium Density,39.3,37.803546698407764,8.5,7.347750881561296,0.3,0.23104170956981182
Philips_Brilliance_iCT,iCT_small_SER_0007,High Density,78.5,84.03826050289997,17.0,16.51377919098106,0.6,0.796708132674667
Philips_Brilliance_iCT,iCT_small_SER_0009,Low Density,19.6,18.115997206049258,4.2,3.9791372876508277,0.2,0.5021646577737755
Philips_Brilliance_iCT,iCT_small_SER_0009,Medium Density,39.3,42.28145146449956,8.5,7.689177455268939,0.3,0.26440250526772185
Philips_Brilliance_iCT,iCT_small_SER_0009,High Density,78.5,89.7612111906297,17.0,17.73404091482367,0.6,0.4336112215886667
